Year	Month	Day	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
2014	4	9	54245	52243	52426	52772	54189	56296	61922	67733	70402	70799	71398	71817	70248	68303	66777	65790	65055	65358	65960	66337	66310	64513	61304	56531
2014	4	10	52274	50419	49220	49994	50824	50598	49550	51188	55086	57798	58491	59371	57814	55997	54855	54574	54155	55685	57045	57585	57357	55958	54702	50702
2014	4	11	47515	45703	45279	46017	46897	46701	45410	45308	47448	49882	52551	55205	54252	51900	50056	49138	48782	50637	53053	54540	56550	56860	56661	52868
2014	4	12	50297	49266	48825	49859	51809	54954	63179	69474	72285	72859	73945	74693	73323	72137	70910	70462	69087	68784	68677	68844	69678	68060	64434	58923
2014	4	13	55010	52285	51626	52453	54164	57243	64353	70056	72072	72038	72263	72904	72572	71897	70413	69793	68185	68203	68704	69199	69981	67963	64078	57917
2014	4	14	53847	52322	51557	52379	53644	56400	64402	69854	71881	71884	72405	73496	73132	72564	71313	70337	68634	68748	69209	69873	70147	67929	64037	58673
2014	4	15	53904	51905	51600	52255	53248	56048	64126	69439	71276	71198	71864	72919	72347	71559	70211	69044	67595	67761	68665	68889	69325	67478	63282	57036
2014	4	16	52810	51317	51374	52023	53905	57021	63731	69021	71614	72037	72450	72164	70393	68395	67125	65542	64503	65245	65903	65903	65898	64842	62574	57465
2014	4	17	52855	50460	50007	51132	51616	51213	49493	51301	54747	56248	56297	55926	54512	52583	51412	50754	50428	52015	54525	55326	55690	55493	54328	50412
2014	4	18	46864	44260	42844	43711	44969	45309	43858	44250	45875	47422	48927	50702	48850	45881	43875	43289	43508	46260	49985	52161	54154	55212	54301	50000
2014	4	19	46611	44738	45304	46574	48663	52629	61034	66592	68092	67545	67670	67965	67178	66507	65305	64300	63036	63467	65152	65966	66260	65351	60905	54665
2014	4	20	51352	49825	49557	50741	52071	55170	61957	67328	68992	67989	68880	69950	69383	68972	67746	67385	65961	66182	67713	68066	67250	65962	61686	56617
2014	4	21	52432	51145	51256	52270	53430	55737	63057	68520	71109	71058	71145	72174	71675	71311	70098	69446	68647	68906	69458	68518	67599	66942	63153	57229
2014	4	22	53628	51400	51326	52101	53674	56343	62610	67319	69049	68723	68955	69658	68332	67066	65990	65157	63701	64315	65912	66798	66120	65602	61777	56221
2014	4	23	52192	50126	49794	50402	52241	55873	61677	66544	67953	67045	66348	66617	64915	62943	61292	60322	59945	61089	62395	63064	62791	62781	59528	54345
2014	4	24	49740	47901	47218	47104	47525	47831	48006	50190	53304	54913	55051	54743	52927	50266	48151	47770	47731	49671	52251	53366	53599	54389	52714	48448
2014	4	25	45466	43369	42301	42865	43248	43629	42509	42854	44546	46842	47178	48602	47383	44584	42737	43265	43975	46555	49722	51389	52990	54681	53611	49546
2014	4	26	47024	45089	45103	45683	46943	50774	58684	65770	69165	70427	71649	72713	71395	70513	69482	68199	66822	67058	66898	67395	66239	65569	61302	55804
2014	4	27	52680	51236	50469	50823	52347	55782	61732	67087	69435	68741	68577	69166	68869	68620	67480	66753	64596	64605	65314	65933	65649	65230	60667	54657
2014	4	28	51666	50117	49719	49796	51657	55700	61527	66813	68536	67637	67790	68281	67217	66467	65194	64310	63511	64046	65267	66029	65529	64238	60119	54482
2014	4	29	50894	49361	48332	48602	49882	53548	60260	65764	67395	66907	67105	67855	66997	66279	65426	65066	64508	65180	66301	66528	66075	65604	61023	54917
2014	4	30	50907	49963	49139	49236	50598	54355	61578	66922	69479	71119	72706	74048	71457	69313	67427	66352	65466	65831	65124	63806	61640	60031	56422	51484
2014	5	1	47200	44808	43783	43118	43317	42846	41077	42723	45287	47583	49339	51814	51205	49261	48098	47128	47506	48314	49613	49665	48972	49944	48525	44705
2014	5	2	41538	39503	38596	39076	39685	40283	40143	42649	45622	48262	50217	53343	52398	50068	48527	48214	48796	50642	52506	53024	53109	53621	52365	48158
2014	5	3	45427	45028	44285	45145	47219	50682	58689	65973	69904	70638	72023	73833	73499	72848	71518	70642	68690	68703	68368	68073	66490	64923	60652	54691
2014	5	4	51306	50198	49390	49989	52153	54566	61478	68013	71365	71581	73288	74470	73367	71648	70683	69692	68234	69129	67961	66844	65133	64580	60814	55643
2014	5	5	52492	51538	50591	51191	52920	54750	61162	67360	70816	70698	71425	72315	71322	70622	69100	68521	67081	66969	67483	67491	65938	65312	62865	57647
2014	5	6	54103	52814	52149	52334	53953	56776	63920	70468	74204	75401	77057	78718	78685	77974	76502	75210	72798	72569	72387	71852	69627	67691	63539	58259
2014	5	7	54819	53327	52523	52834	53861	55814	62004	68727	72103	72976	74325	74927	73756	71299	69258	68194	66946	66970	66567	65856	64122	63158	60229	55297
2014	5	8	51378	49441	48240	48575	49149	49033	49353	51614	54932	57424	58497	60268	59372	56947	54189	53435	53015	53868	54791	55005	54083	54710	53650	49816
2014	5	9	46877	44364	43784	43511	43975	43981	42429	43238	46610	48589	50198	52231	51170	48623	46980	46118	46176	48186	51060	52149	52706	54377	54158	49869
2014	5	10	47335	46350	46101	46691	48819	51643	59598	66649	70618	71621	72913	74163	74166	73410	70978	69585	67537	67705	68453	68346	65994	65047	61485	56011
2014	5	11	52458	50676	49956	50336	52136	54721	61248	67218	69877	70348	71337	72369	70870	69934	68884	69141	68148	68713	69443	69463	67532	66563	63523	57731
2014	5	12	53509	52394	51535	52089	53638	55484	62395	69269	72374	72709	73527	74791	73692	73065	71548	70701	68884	68221	68313	67749	65923	64757	60779	54542
2014	5	13	49670	47116	45622	46068	46937	45752	43425	44425	47523	50911	53181	55637	55080	53125	51433	50490	50255	51368	52730	52967	52677	53276	52691	48701
